,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
54,filter71$\longleftrightarrow$filter112,11684,M0408_1.02,0.00856194,M2314_1.02,0.000382499,30.0,24.0,216.0,140.0,1.3307996482940594e-06,0.0002661032998865,ZKSCAN1,SP2,ZKSCAN1$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
55,filter71$\longleftrightarrow$filter135,11707,M0408_1.02,0.00856194,M4640_1.02,0.0301633,312.0,294.0,204.0,145.0,7.961839947178468e-05,0.0064227786973032,ZKSCAN1,ZBTB7A,ZKSCAN1$\longleftrightarrow$ZBTB7A,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
56,filter71$\longleftrightarrow$filter138,11710,M0408_1.02,0.00856194,M4604_1.02,0.0165503,96.0,6.0,203.0,119.0,0.0001842578405046,0.0117400351529665,ZKSCAN1,ZNF263,ZKSCAN1$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
57,filter71$\longleftrightarrow$filter173,11745,M0408_1.02,0.00856194,M6482_1.02,1.54228e-05,138.0,30.0,207.0,111.0,2.844077511320749e-05,0.0028934733888234,ZKSCAN1,SP7,ZKSCAN1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
58,filter71$\longleftrightarrow$filter184,11756,M0408_1.02,0.00856194,M4459_1.02,0.00536543,18.0,210.0,212.0,141.0,0.0007827970130368,0.0351268484598109,ZKSCAN1,EGR1,ZKSCAN1$\longleftrightarrow$EGR1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
59,filter80$\longleftrightarrow$filter112,12791,M0891_1.02,0.00715303,M2314_1.02,0.000382499,426.0,36.0,190.0,74.0,5.281070674943657e-05,0.0045533488259743,TLX2,SP2,TLX2$\longleftrightarrow$SP2,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
60,filter80$\longleftrightarrow$filter138,12817,M0891_1.02,0.00715303,M4604_1.02,0.0165503,288.0,18.0,173.0,72.0,3.225980876018089e-06,0.0005365976685454,TLX2,ZNF263,TLX2$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
61,filter93$\longleftrightarrow$filter112,14247,M4604_1.02,0.0354851,M2314_1.02,0.000382499,12.0,24.0,220.0,77.0,9.51927878370833e-07,0.0002110409217558,ZNF263,SP2,ZNF263$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
62,filter93$\longleftrightarrow$filter171,14306,M4604_1.02,0.0354851,M1668_1.02,0.00131286,276.0,78.0,217.0,87.0,3.727458012231558e-05,0.0035030650398952,ZNF263,PRKRIR,ZNF263$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
63,filter93$\longleftrightarrow$filter173,14308,M4604_1.02,0.0354851,M6482_1.02,1.54228e-05,42.0,186.0,208.0,66.0,2.374668604925916e-05,0.0025651879941487,ZNF263,SP7,ZNF263$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
64,filter94$\longleftrightarrow$filter171,14411,M0607_1.02,0.0463817,M1668_1.02,0.00131286,24.0,486.0,156.0,95.0,0.0001690791675515,0.0110347640045098,KDM2B,PRKRIR,KDM2B$\longleftrightarrow$PRKRIR,CxxC,THAP finger,CxxC$\longleftrightarrow$THAP finger
65,filter97$\longleftrightarrow$filter112,14661,M0891_1.02,0.0026062,M2314_1.02,0.000382499,114.0,6.0,230.0,124.0,4.14378126398023e-06,0.0006545085095611,TLX2,SP2,TLX2$\longleftrightarrow$SP2,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
66,filter97$\longleftrightarrow$filter135,14684,M0891_1.02,0.0026062,M4640_1.02,0.0301633,66.0,6.0,215.0,126.0,3.4724750164614104e-05,0.003405281562447,TLX2,ZBTB7A,TLX2$\longleftrightarrow$ZBTB7A,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
67,filter97$\longleftrightarrow$filter138,14687,M0891_1.02,0.0026062,M4604_1.02,0.0165503,156.0,342.0,216.0,113.0,3.582952498376949e-06,0.0005755997876879,TLX2,ZNF263,TLX2$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
68,filter97$\longleftrightarrow$filter173,14722,M0891_1.02,0.0026062,M6482_1.02,1.54228e-05,36.0,6.0,216.0,96.0,1.5943411316795786e-08,1.1525859965788214e-05,TLX2,SP7,TLX2$\longleftrightarrow$SP7,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
69,filter97$\longleftrightarrow$filter184,14733,M0891_1.02,0.0026062,M4459_1.02,0.00536543,12.0,6.0,227.0,124.0,0.001239614917471,0.0499929669405393,TLX2,EGR1,EGR1$\longleftrightarrow$TLX2,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
70,filter106$\longleftrightarrow$filter112,15534,M0609_1.02,0.0198681,M2314_1.02,0.000382499,228.0,78.0,221.0,94.0,0.000174811820984,0.0113694221010924,DNMT1,SP2,DNMT1$\longleftrightarrow$SP2,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
71,filter106$\longleftrightarrow$filter138,15560,M0609_1.02,0.0198681,M4604_1.02,0.0165503,276.0,54.0,207.0,91.0,2.400249748146593e-05,0.0025780053866379,DNMT1,ZNF263,DNMT1$\longleftrightarrow$ZNF263,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
72,filter106$\longleftrightarrow$filter140,15562,M0609_1.02,0.0198681,M6482_1.02,0.0115435,6.0,24.0,184.0,111.0,0.0002214983055097,0.0133012209276723,DNMT1,SP7,DNMT1$\longleftrightarrow$SP7,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
73,filter108$\longleftrightarrow$filter112,15717,M0891_1.02,0.00301044,M2314_1.02,0.000382499,348.0,60.0,220.0,131.0,5.72104583839248e-06,0.000846714784082,TLX2,SP2,TLX2$\longleftrightarrow$SP2,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
74,filter108$\longleftrightarrow$filter184,15789,M0891_1.02,0.00301044,M4459_1.02,0.00536543,54.0,144.0,220.0,136.0,0.0005037504341607,0.0257296009795809,TLX2,EGR1,EGR1$\longleftrightarrow$TLX2,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
75,filter112$\longleftrightarrow$filter127,16086,M2314_1.02,0.000382499,M6519_1.02,0.0149825,114.0,36.0,137.0,103.0,3.549255420115903e-05,0.0034092125439358,SP2,TGIF1,SP2$\longleftrightarrow$TGIF1,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
76,filter112$\longleftrightarrow$filter128,16087,M2314_1.02,0.000382499,M0609_1.02,0.0295575,288.0,72.0,115.0,91.0,0.0011430984337705,0.0472212706838497,SP2,DNMT1,DNMT1$\longleftrightarrow$SP2,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
77,filter112$\longleftrightarrow$filter129,16088,M2314_1.02,0.000382499,M0609_1.02,0.00722919,120.0,78.0,187.0,112.0,0.0005747997043951,0.0280621694644428,SP2,DNMT1,DNMT1$\longleftrightarrow$SP2,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
78,filter112$\longleftrightarrow$filter135,16094,M2314_1.02,0.000382499,M4640_1.02,0.0301633,18.0,138.0,215.0,108.0,6.747475577038847e-11,1.811793584943174e-07,SP2,ZBTB7A,SP2$\longleftrightarrow$ZBTB7A,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
79,filter112$\longleftrightarrow$filter138,16097,M2314_1.02,0.000382499,M4604_1.02,0.0165503,126.0,24.0,211.0,92.0,2.527619540437924e-06,0.000444010625066,SP2,ZNF263,ZNF263$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
80,filter112$\longleftrightarrow$filter140,16099,M2314_1.02,0.000382499,M6482_1.02,0.0115435,210.0,6.0,196.0,110.0,9.710876292754292e-08,3.725012873441014e-05,SP2,SP7,SP2$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
81,filter112$\longleftrightarrow$filter152,16111,M2314_1.02,0.000382499,M0609_1.02,0.0428993,228.0,78.0,188.0,123.0,0.0005426895380736,0.0271343998013727,SP2,DNMT1,DNMT1$\longleftrightarrow$SP2,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
82,filter112$\longleftrightarrow$filter157,16116,M2314_1.02,0.000382499,M6482_1.02,0.00647809,246.0,162.0,172.0,110.0,4.1338961514218766e-05,0.0037776707015105,SP2,SP7,SP2$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
83,filter112$\longleftrightarrow$filter169,16128,M2314_1.02,0.000382499,M0607_1.02,0.0183426,120.0,114.0,211.0,125.0,0.0005209440772633,0.0264639591249799,SP2,KDM2B,KDM2B$\longleftrightarrow$SP2,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
84,filter112$\longleftrightarrow$filter171,16130,M2314_1.02,0.000382499,M1668_1.02,0.00131286,72.0,12.0,226.0,112.0,2.1764479134538e-08,1.3636171660425874e-05,SP2,PRKRIR,SP2$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
85,filter112$\longleftrightarrow$filter173,16132,M2314_1.02,0.000382499,M6482_1.02,1.54228e-05,6.0,6.0,214.0,80.0,3.945025827888661e-08,1.951872920575051e-05,SP2,SP7,SP2$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
86,filter112$\longleftrightarrow$filter184,16143,M2314_1.02,0.000382499,M4459_1.02,0.00536543,282.0,6.0,223.0,111.0,5.665597044428792e-10,8.191581695929505e-07,SP2,EGR1,EGR1$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
87,filter124$\longleftrightarrow$filter138,17063,M1110_1.02,0.0243189,M4604_1.02,0.0165503,354.0,12.0,83.0,108.0,0.0007904979708212,0.0352090044065298,HHEX,ZNF263,HHEX$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
88,filter127$\longleftrightarrow$filter184,17328,M6519_1.02,0.0149825,M4459_1.02,0.00536543,24.0,6.0,138.0,105.0,0.0004700533238942,0.0242058144545662,TGIF1,EGR1,TGIF1$\longleftrightarrow$EGR1,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
89,filter129$\longleftrightarrow$filter135,17420,M0609_1.02,0.00722919,M4640_1.02,0.0301633,114.0,132.0,173.0,131.0,0.0001987797692048,0.0121702428077344,DNMT1,ZBTB7A,DNMT1$\longleftrightarrow$ZBTB7A,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
