,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
10,filter8$\longleftrightarrow$filter14,1569,M4459_1.02,0.0134448,M0404_1.02,0.041414,84.0,180.0,232.0,168.0,5.828299201083884e-05,0.0049569552843245,EGR1,ZNF202,EGR1$\longleftrightarrow$ZNF202,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
11,filter8$\longleftrightarrow$filter16,1571,M4459_1.02,0.0134448,M0891_1.02,0.00684254,18.0,120.0,201.0,132.0,4.180440018696535e-05,0.0037776707015105,EGR1,TLX2,EGR1$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
12,filter8$\longleftrightarrow$filter63,1618,M4459_1.02,0.0134448,M4850_1.02,0.045672,168.0,30.0,206.0,133.0,0.000149877918516,0.0100610905586686,EGR1,TCF15,EGR1$\longleftrightarrow$TCF15,C2H2 ZF,bHLH,C2H2 ZF$\longleftrightarrow$bHLH
13,filter8$\longleftrightarrow$filter108,1663,M4459_1.02,0.0134448,M0891_1.02,0.00301044,66.0,162.0,224.0,169.0,0.0005858800075498,0.0285290171552009,EGR1,TLX2,EGR1$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
14,filter8$\longleftrightarrow$filter112,1667,M4459_1.02,0.0134448,M2314_1.02,0.000382499,42.0,12.0,232.0,120.0,6.307116569685468e-11,1.811793584943174e-07,EGR1,SP2,EGR1$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
15,filter8$\longleftrightarrow$filter135,1690,M4459_1.02,0.0134448,M4640_1.02,0.0301633,156.0,90.0,217.0,139.0,0.0001100423233719,0.0081749766171877,EGR1,ZBTB7A,EGR1$\longleftrightarrow$ZBTB7A,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
16,filter8$\longleftrightarrow$filter138,1693,M4459_1.02,0.0134448,M4604_1.02,0.0165503,12.0,30.0,215.0,118.0,0.0001764157408619,0.0113948806365662,EGR1,ZNF263,EGR1$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
17,filter8$\longleftrightarrow$filter140,1695,M4459_1.02,0.0134448,M6482_1.02,0.0115435,150.0,126.0,194.0,140.0,0.0009265670537474,0.0399443906932021,EGR1,SP7,EGR1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
18,filter8$\longleftrightarrow$filter171,1726,M4459_1.02,0.0134448,M1668_1.02,0.00131286,24.0,12.0,229.0,129.0,2.2783515554441056e-05,0.0024753697015102,EGR1,PRKRIR,EGR1$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
19,filter8$\longleftrightarrow$filter173,1728,M4459_1.02,0.0134448,M6482_1.02,1.54228e-05,84.0,174.0,216.0,104.0,8.202374339061455e-05,0.0065605033224254,EGR1,SP7,EGR1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
20,filter14$\longleftrightarrow$filter16,2696,M0404_1.02,0.041414,M0891_1.02,0.00684254,6.0,30.0,196.0,143.0,0.0003544380794074,0.019254387689428,ZNF202,TLX2,ZNF202$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
21,filter14$\longleftrightarrow$filter47,2727,M0404_1.02,0.041414,M0608_1.02,0.0471865,204.0,24.0,182.0,125.0,0.000228107040929,0.0136111109247681,ZNF202,MLL,ZNF202$\longleftrightarrow$MLL,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
22,filter14$\longleftrightarrow$filter60,2740,M0404_1.02,0.041414,M0891_1.02,0.00994526,12.0,84.0,115.0,93.0,0.0006605117583678,0.0312719874314426,ZNF202,TLX2,ZNF202$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
23,filter14$\longleftrightarrow$filter71,2751,M0404_1.02,0.041414,M0408_1.02,0.00856194,12.0,210.0,219.0,182.0,0.0001347774230902,0.0093372067403853,ZNF202,ZKSCAN1,ZNF202$\longleftrightarrow$ZKSCAN1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
24,filter14$\longleftrightarrow$filter97,2777,M0404_1.02,0.041414,M0891_1.02,0.0026062,72.0,6.0,232.0,165.0,6.100366018998683e-07,0.0001549492968825,ZNF202,TLX2,ZNF202$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
25,filter14$\longleftrightarrow$filter112,2792,M0404_1.02,0.041414,M2314_1.02,0.000382499,78.0,84.0,228.0,137.0,1.5106481213484565e-07,5.460411940166459e-05,ZNF202,SP2,ZNF202$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
26,filter14$\longleftrightarrow$filter129,2809,M0404_1.02,0.041414,M0609_1.02,0.00722919,60.0,84.0,190.0,160.0,0.0001510054760014,0.0100833011857345,ZNF202,DNMT1,DNMT1$\longleftrightarrow$ZNF202,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
27,filter14$\longleftrightarrow$filter135,2815,M0404_1.02,0.041414,M4640_1.02,0.0301633,54.0,6.0,214.0,139.0,4.149655609152405e-07,0.0001114241811851,ZNF202,ZBTB7A,ZNF202$\longleftrightarrow$ZBTB7A,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
28,filter14$\longleftrightarrow$filter138,2818,M0404_1.02,0.041414,M4604_1.02,0.0165503,414.0,114.0,215.0,123.0,5.99015515941577e-06,0.0008796168466904,ZNF202,ZNF263,ZNF202$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
29,filter14$\longleftrightarrow$filter140,2820,M0404_1.02,0.041414,M6482_1.02,0.0115435,120.0,60.0,193.0,149.0,0.00053494628299,0.0269929378640108,ZNF202,SP7,ZNF202$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
30,filter14$\longleftrightarrow$filter171,2851,M0404_1.02,0.041414,M1668_1.02,0.00131286,12.0,18.0,229.0,150.0,2.6330198030528057e-06,0.000457424747295,ZNF202,PRKRIR,ZNF202$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
31,filter14$\longleftrightarrow$filter173,2853,M0404_1.02,0.041414,M6482_1.02,1.54228e-05,72.0,6.0,217.0,103.0,0.0009303414286604,0.0400153260711692,ZNF202,SP7,ZNF202$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
32,filter14$\longleftrightarrow$filter184,2864,M0404_1.02,0.041414,M4459_1.02,0.00536543,72.0,144.0,224.0,139.0,1.8843980017547385e-06,0.0003472465180488,ZNF202,EGR1,EGR1$\longleftrightarrow$ZNF202,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
33,filter16$\longleftrightarrow$filter112,3159,M0891_1.02,0.00684254,M2314_1.02,0.000382499,42.0,126.0,192.0,105.0,0.0001960902848403,0.0121381962993907,TLX2,SP2,TLX2$\longleftrightarrow$SP2,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
34,filter16$\longleftrightarrow$filter140,3187,M0891_1.02,0.00684254,M6482_1.02,0.0115435,24.0,180.0,163.0,119.0,0.0002855519851701,0.0164576935332777,TLX2,SP7,TLX2$\longleftrightarrow$SP7,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
